TIME,DQN
34.340555555555554,0.149
34.394444444444446,0.0
34.448055555555555,0.008
34.5025,0.009
34.556666666666665,0.016
34.61194444444445,0.0
34.66638888888889,0.009
34.721666666666664,0.026
34.77527777777778,0.0
34.829166666666666,0.0
34.88361111111111,0.042
34.93805555555556,0.0
34.9925,0.025
35.04666666666667,0.0
35.10055555555556,0.031
35.155,0.0
35.20944444444444,0.042
35.26305555555555,0.015
35.316944444444445,0.006
35.37027777777778,0.0
35.423611111111114,0.0
35.47666666666667,0.0
35.52916666666667,0.0
35.58305555555555,0.0
35.6375,0.007
35.69138888888889,0.153
35.74666666666667,0.008
35.8025,0.007
35.85861111111111,0.0
35.91361111111111,0.008
35.96861111111111,0.241
36.022222222222226,0.0
36.077222222222225,0.438
36.13333333333333,0.0
36.18972222222222,0.0
36.244166666666665,0.0
36.29805555555556,0.0
36.35138888888889,0.069
36.405,0.0
36.458888888888886,0.012
36.5125,0.0
36.56638888888889,0.017
36.62083333333333,0.0
36.67527777777778,0.301
36.73027777777778,0.019
36.784166666666664,0.022
36.838055555555556,0.0
36.89277777777778,0.009
36.94722222222222,0.016
37.00277777777778,0.071
37.05694444444445,0.0
37.11361111111111,0.024
37.170833333333334,0.0
37.227222222222224,0.0
37.28111111111111,0.007
37.33611111111111,0.513
37.39,0.0
37.44305555555555,0.0
37.49666666666667,0.0
37.55,0.015
37.60388888888889,0.0
37.65777777777778,0.337
37.71222222222222,0.015
37.76611111111111,0.024
37.819722222222225,0.0
37.873333333333335,0.0
37.926944444444445,0.052
37.98138888888889,0.615
38.035555555555554,0.0
38.08888888888889,0.0
38.143055555555556,0.014
38.19777777777778,0.74
38.25138888888889,0.089
38.30555555555556,0.28
38.359722222222224,0.051
38.41361111111111,0.174
38.4675,0.022
38.52194444444444,0.0
38.57888888888889,0.0
38.63916666666667,0.627
38.69972222222222,0.0
38.75555555555555,0.0
38.80972222222222,0.154
38.86361111111111,0.0
38.918055555555554,0.0
38.97222222222222,0.034
39.025555555555556,0.0
39.07972222222222,0.0
39.134166666666665,0.423
39.18805555555556,0.008
39.24333333333333,0.0
39.29944444444445,0.0
39.35527777777778,0.089
39.410833333333336,0.009
39.46472222222222,0.033
39.51888888888889,0.063
39.57333333333333,0.0
39.62916666666667,0.683
39.68416666666667,0.145
39.73861111111111,0.0
39.79194444444445,0.186
39.845555555555556,0.016
39.89944444444444,0.175
39.95305555555556,0.0
40.007222222222225,0.24
40.06166666666667,0.0
40.115833333333335,0.25
40.17,0.0
40.22388888888889,0.0
40.27777777777778,0.007
40.331944444444446,0.0
40.385555555555555,0.0
40.441944444444445,0.152
40.49888888888889,0.0
40.55555555555556,0.0
40.61,0.0
40.66416666666667,0.027
40.71888888888889,0.028
40.7725,0.0
40.82611111111111,0.0
40.88,0.0
40.93472222222222,0.0
40.98861111111111,0.03
41.04277777777778,0.0
41.0975,0.0
41.151666666666664,0.019
41.20611111111111,0.097
41.26444444444444,0.0
41.32361111111111,0.0
41.382777777777775,0.0
41.43611111111111,0.113
41.489444444444445,0.0
41.543055555555554,0.709
41.596944444444446,0.0
41.65083333333333,0.0
41.705,0.101
41.75861111111111,0.0
41.812777777777775,0.0
41.86638888888889,0.0
41.92055555555555,0.0
41.975,0.068
42.02972222222222,0.0
42.083888888888886,0.0
42.13916666666667,0.0
42.195,0.085
42.24944444444444,0.0
42.30444444444444,0.125
42.35944444444444,0.0
42.41361111111111,0.029
42.4675,0.0
42.52166666666667,0.175
42.576388888888886,0.0
42.631388888888885,0.0
42.68611111111111,0.023
42.742777777777775,0.0
42.80222222222222,0.0
42.86333333333334,0.613
42.91916666666667,0.0
42.973333333333336,0.568
43.02722222222222,0.0
43.08416666666667,0.0
43.14361111111111,0.0
43.20333333333333,0.016
43.260555555555555,0.015
43.31666666666667,0.006
43.37305555555555,0.0
43.42777777777778,0.0
43.48222222222222,0.0
43.536944444444444,0.007
43.595,0.0
43.655277777777776,0.01
43.71611111111111,0.523
43.77111111111111,0.0
43.826388888888886,0.281
43.88027777777778,0.0
43.933055555555555,0.0
43.98722222222222,0.0
44.04055555555556,0.055
44.09888888888889,0.0
44.15888888888889,0.0
44.21944444444444,0.007
44.274166666666666,0.0
44.32805555555556,0.0
44.38194444444444,0.0
44.435833333333335,0.427
44.49027777777778,0.023
44.54388888888889,0.007
44.5975,0.0
44.65138888888889,0.008
44.705555555555556,0.008
44.76,0.0
44.815,0.32
44.87027777777778,0.438
44.92472222222222,0.013
44.97888888888889,0.063
45.03277777777778,0.0
45.08611111111111,0.224
45.13916666666667,0.0
45.19277777777778,0.486
45.24777777777778,0.0
45.30361111111111,0.231
45.35916666666667,0.024
45.41388888888889,0.0
45.467777777777776,0.343
45.52111111111111,0.04
45.57666666666667,0.0
45.63333333333333,0.0
45.69027777777778,0.0
45.74472222222222,0.0
45.79944444444445,0.0
45.85333333333333,0.133
